          xle           xte             y             z    twist(deg)            a0    alfZL(deg)
  64.31115636   72.74150656   59.51672183    3.48998403    5.67265339    6.28318531    0.00000000
  64.43714658   72.80518565   59.77666429    3.50522672    5.63474856    6.28318531    0.00000000
  64.56134962   72.86796144   60.03291945    3.52025319    5.59554575    6.28318531    0.00000000
  64.68375781   72.92983007   60.28547150    3.53506252    5.55503406    6.28318531    0.00000000
  64.80436362   72.99078772   60.53430485    3.54965379    5.51320330    6.28318531    0.00000000
  64.92315958   73.05083062   60.77940416    3.56402610    5.47004411    6.28318531    0.00000000
  65.04013839   73.10995508   61.02075432    3.57817856    5.42554792    6.28318531    0.00000000
  65.15529282   73.16815744   61.25834042    3.59211030    5.37970705    6.28318531    0.00000000
  65.26861577   73.22543412   61.49214782    3.60582047    5.33251477    6.28318531    0.00000000
  65.38010025   73.28178159   61.72216210    3.61930821    5.28396528    6.28318531    0.00000000
  65.48973937   73.33719636   61.94836907    3.63257270    5.23405383    6.28318531    0.00000000
  65.59752639   73.39167502   62.17075476    3.64561311    5.18277674    6.28318531    0.00000000
  65.70345465   73.44521422   62.38930547    3.65842864    5.13013143    6.28318531    0.00000000
  65.80751762   73.49781064   62.60400772    3.67101850    5.07611650    6.28318531    0.00000000
  65.90970887   73.54946104   62.81484825    3.68338192    5.02073179    6.28318531    0.00000000
  66.01002210   73.60016223   63.02181407    3.69551813    4.96397838    6.28318531    0.00000000
  66.10845113   73.64991110   63.22489241    3.70742638    4.90585867    6.28318531    0.00000000
  66.20498989   73.69870457   63.42407074    3.71910594    4.84637645    6.28318531    0.00000000
  66.29963241   73.74653962   63.61933677    3.73055609    4.78553689    6.28318531    0.00000000
  66.39237286   73.79341332   63.81067846    3.74177612    4.72334666    6.28318531    0.00000000
  66.48320553   73.83932276   63.99808401    3.75276534    4.65981392    6.28318531    0.00000000
  66.57212480   73.88426512   64.18154186    3.76352308    4.59494839    6.28318531    0.00000000
  66.65912519   73.92823763   64.36104068    3.77404866    4.52876141    6.28318531    0.00000000
  66.74420134   73.97123757   64.53656941    3.78434144    4.46126596    6.28318531    0.00000000
  66.82734800   74.01326228   64.70811723    3.79440078    4.39247672    6.28318531    0.00000000
  66.90856004   74.05430918   64.87567354    3.80422607    4.32241010    6.28318531    0.00000000
  66.98783244   74.09437574   65.03922802    3.81381669    4.25108430    6.28318531    0.00000000
  67.06516033   74.13345948   65.19877057    3.82317206    4.17851935    6.28318531    0.00000000
  67.14053892   74.17155799   65.35429135    3.83229160    4.10473716    6.28318531    0.00000000
  67.21396358   74.20866893   65.50578077    3.84117474    4.02976151    6.28318531    0.00000000
  67.28542976   74.24479000   65.65322949    3.84982095    3.95361816    6.28318531    0.00000000
  67.35493307   74.27991897   65.79662840    3.85822967    3.87633485    6.28318531    0.00000000
  67.42246921   74.31405368   65.93596867    3.86640041    3.79794134    6.28318531    0.00000000
  67.48803403   74.34719202   66.07124170    3.87433264    3.71846949    6.28318531    0.00000000
  67.55162346   74.37933196   66.20243914    3.88202589    3.63795322    6.28318531    0.00000000
  67.61323360   74.41047150   66.32955291    3.88947968    3.55642866    6.28318531    0.00000000
  67.67286064   74.44060872   66.45257515    3.89669355    3.47393410    6.28318531    0.00000000
  67.73050091   74.46974177   66.57149829    3.90366705    3.39051009    6.28318531    0.00000000
  67.78615084   74.49786885   66.68631499    3.91039975    3.30619950    6.28318531    0.00000000
  67.83980701   74.52498822   66.79701816    3.91689124    3.22104754    6.28318531    0.00000000
  67.89146611   74.55109821   66.90360097    3.92314112    3.13510188    6.28318531    0.00000000
  67.94112494   74.57619722   67.00605685    3.92914900    3.04841267    6.28318531    0.00000000
  67.98878045   74.60028369   67.10437949    3.93491452    2.96103270    6.28318531    0.00000000
  68.03442969   74.62335613   67.19856281    3.94043730    2.87301747    6.28318531    0.00000000
